Deleting pre-activation logs/calibration/raw_measurements.csv (archive at  _archived_greedy_v1_4_pre_direction_a/)
=== Calibration cohort: calibration_v1 ===
Started:        2026-05-13T10:24:29Z
Hostname:       iisl
Git commit:     c56f0fcd0ec7968d24253db17336970952445023
Active alloc:   conflict_aware
Workers:        32
CSV:            logs/calibration/raw_measurements.csv
Expected rows:  2160 (excluding header)
===
2026-05-13 13:24:29,665 INFO calibrate calibration grid: 720 cells × 3 replans/cell = 2160 invocations (time_limit=10.0s each)
2026-05-13 13:24:29,668 INFO calibrate running with 32 workers
2026-05-13 13:50:44,527 INFO calibrate progress: 630/720 cells (87.5%, elapsed 1574.9s)
2026-05-13 13:51:16,070 INFO calibrate progress: 635/720 cells (88.2%, elapsed 1606.4s)
2026-05-13 13:51:30,578 INFO calibrate progress: 640/720 cells (88.9%, elapsed 1620.9s)
2026-05-13 13:52:01,153 INFO calibrate progress: 645/720 cells (89.6%, elapsed 1651.5s)
2026-05-13 13:52:22,239 INFO calibrate progress: 650/720 cells (90.3%, elapsed 1672.6s)
2026-05-13 13:52:33,801 INFO calibrate progress: 655/720 cells (91.0%, elapsed 1684.1s)
2026-05-13 13:52:37,422 INFO calibrate progress: 660/720 cells (91.7%, elapsed 1687.8s)
2026-05-13 13:52:55,400 INFO calibrate progress: 665/720 cells (92.4%, elapsed 1705.7s)
2026-05-13 13:53:43,545 INFO calibrate progress: 670/720 cells (93.1%, elapsed 1753.9s)
2026-05-13 13:53:56,023 INFO calibrate progress: 675/720 cells (93.8%, elapsed 1766.4s)
2026-05-13 13:54:08,967 INFO calibrate progress: 680/720 cells (94.4%, elapsed 1779.3s)
2026-05-13 13:54:35,918 INFO calibrate progress: 685/720 cells (95.1%, elapsed 1806.3s)
2026-05-13 13:55:16,320 INFO calibrate progress: 690/720 cells (95.8%, elapsed 1846.7s)
2026-05-13 13:56:55,869 INFO calibrate progress: 695/720 cells (96.5%, elapsed 1946.2s)
2026-05-13 13:57:37,202 INFO calibrate progress: 700/720 cells (97.2%, elapsed 1987.5s)
2026-05-13 13:57:54,595 INFO calibrate progress: 705/720 cells (97.9%, elapsed 2004.9s)
2026-05-13 13:58:41,021 INFO calibrate progress: 710/720 cells (98.6%, elapsed 2051.4s)
2026-05-13 14:01:06,864 INFO calibrate progress: 715/720 cells (99.3%, elapsed 2197.2s)
2026-05-13 14:01:54,730 INFO calibrate progress: 720/720 cells (100.0%, elapsed 2245.1s)
2026-05-13 14:01:54,995 INFO calibrate calibration done: 720/720 cells succeeded (0 failed), 2245.3s wall
2026-05-13 14:01:54,995 INFO calibrate rows written to logs/calibration/raw_measurements.csv
===
Finished:    2026-05-13T11:01:55Z
Exit code:   0
Final rows:  2161 / 2161 expected
DONE: calibration_v1
